video_id,date,title,mp3_url
fbc-2023-11-29mw-overwhelmed-and-desolate-part-1,20231129,Overwhelmed And Desolate Part 1,http://fbcministries.net/sermons/Walk_Worthy/2023-11-29MW-Overwhelmed_And_Desolate_Part_1.mp3
fbc-2023-11-15mw-lessons-from-ruth,20231115,Lessons From Ruth,http://fbcministries.net/sermons/Ruth_Series/2023-11-15MW-Lessons_From_Ruth.mp3
fbc-2023-11-08mw-they-called-his-name-obed,20231108,They Called His Name Obed,http://fbcministries.net/sermons/Ruth_Series/2023-11-08MW-They_Called_His_Name_Obed.mp3
fbc-2023-11-01mw-boaz-completed-the-transaction,20231101,Boaz Completed The Transaction,http://fbcministries.net/sermons/Ruth_Series/2023-11-01MW-Boaz_Completed_The_Transaction.mp3
fbc-2023-10-25mw-i-will-do-to-thee-all-that-thou-requirest,20231025,I Will Do To Thee All That Thou Requirest,http://fbcministries.net/sermons/Ruth_Series/2023-10-25MW-I_Will_Do_To_Thee_All_That_Thou_Requirest.mp3
fbc-2023-09-06mw-handfuls-of-purpose,20230906,Handfuls Of Purpose,http://fbcministries.net/sermons/Ruth_Series/2023-09-06MW-Handfuls_Of_Purpose.mp3
fbc-2023-08-30mw-boaz-meets-ruth,20230830,Boaz Meets Ruth,http://fbcministries.net/sermons/Ruth_Series/2023-08-30MW-Boaz_Meets_Ruth.mp3
fbc-2023-08-23mw-ruth-in-the-field-of-boaz,20230823,Ruth In The Field Of Boaz,http://fbcministries.net/sermons/Ruth_Series/2023-08-23MW-Ruth_In_The_Field_Of_Boaz.mp3
fbc-2023-08-16mw-they-came-to-bethlehem,20230816,They Came To Bethlehem,http://fbcministries.net/sermons/Ruth_Series/2023-08-16MW-They_Came_To_Bethlehem.mp3
fbc-2023-08-09mw-ruth-made-her-choice,20230809,Ruth Made Her Choice,http://fbcministries.net/sermons/Ruth_Series/2023-08-09MW-Ruth_Made_Her_Choice.mp3
fbc-2023-04-12mw-the-lord-is-my-strong-refuge,20230412,The Lord Is My Strong Refuge,http://fbcministries.net/sermons/2023-04-12MW-The_Lord_Is_My_Strong_Refuge.mp3
fbc-2023-04-05mw-the-lord-is-my-hope,20230405,The Lord Is My Hope,http://fbcministries.net/sermons/2023-04-05MW-The_Lord_Is_My_Hope.mp3
fbc-2023-03-29mw-the-lord-is-my-fortress,20230329,The Lord Is My Fortress,http://fbcministries.net/sermons/2023-03-29MW-The_Lord_Is_My_Fortress.mp3
fbc-2023-03-23mw-the-lord-is-my-rock,20230323,The Lord Is My Rock,http://fbcministries.net/sermons/2023-03-23MW-The_Lord_Is_My_Rock.mp3
fbc-2023-03-01mw-the-end-is-peace,20230301,The End Is Peace,http://fbcministries.net/sermons/2023-03-01MW-The_End_Is_Peace.mp3
fbc-2023-02-15mw-our-divine-protector,20230215,Our Divine Protector,http://fbcministries.net/sermons/2023-02-15MW-Our_Divine_Protector.mp3
fbc-2023-02-08mw-the-law-of-his-god-is-in-his-heart,20230208,The Law Of His God Is In His Heart,http://fbcministries.net/sermons/2023-02-08MW-The_Law_Of_His_God_Is_In_His_Heart.mp3
fbc-2023-02-01mw-the-lord-forsaketh-not-his-saints,20230201,The Lord Forsaketh Not His Saints,http://fbcministries.net/sermons/2023-02-01MW-The_Lord_Forsaketh_Not_His_Saints.mp3
fbc-2023-01-25mw-a-recognition-of-gods-faithfulness,20230125,A Recognition Of Gods Faithfulness,http://fbcministries.net/sermons/2023-01-25MW-A_Recognition_Of_Gods_Faithfulness.mp3
fbc-2023-01-18mw-the-lord-upholdeth-him-with-his-hand,20230118,The Lord Upholdeth Him With His Hand,http://fbcministries.net/sermons/2023-01-18MW-The_Lord_Upholdeth_Him_With_His_Hand.mp3
fbc-2023-01-15pm-conviction-or-preference,20230115,Conviction Or Preference,http://fbcministries.net/sermons/2023-01-15PM-Conviction_Or_Preference.mp3
fbc-2023-01-11mw-the-generosity-of-the-righteous,20230111,The Generosity Of The Righteous,http://fbcministries.net/sermons/2023-01-11MW-The_Generosity_Of_The_Righteous.mp3
fbc-2023-01-08pm-when-ye-fast,20230108,When Ye Fast,http://fbcministries.net/sermons/2023-01-08PM-When_Ye_Fast.mp3
fbc-2023-01-04mw-the-lord-knoweth-your-days,20230104,The Lord Knoweth Your Days,http://fbcministries.net/sermons/2023-01-04MW-The_Lord_Knoweth_Your_Days.mp3
fbc-2022-12-28mw-preparation-for-a-new-year,20221228,Preparation For A New Year,http://fbcministries.net/sermons/2022-12-28MW-Preparation_For_A_New_Year.mp3
fbc-2022-12-25am-they-presented-unto-him-gifts,20221225,They Presented Unto Him Gifts,http://fbcministries.net/sermons/2022-12-25AM-They_Presented_Unto_Him_Gifts.mp3
fbc-2022-12-21mw-the-lord-upholdeth-the-righteous,20221221,The Lord Upholdeth The Righteous,http://fbcministries.net/sermons/2022-12-21MW-The_Lord_Upholdeth_The_Righteous.mp3
fbc-2022-12-18pm-they-shall-call-his-name-emmanuel,20221218,They Shall Call His Name Emmanuel,http://fbcministries.net/sermons/2022-12-18PM-They_Shall_Call_His_Name_Emmanuel.mp3
fbc-2022-12-14mw-when-less-is-more,20221214,When Less Is More,http://fbcministries.net/sermons/2022-12-14MW-When_Less_Is_More.mp3
fbc-2022-12-07mw-the-hostility-of-the-wicked,20221207,The Hostility Of The Wicked,http://fbcministries.net/sermons/2022-12-07MW-The_Hostility_Of_The_Wicked.mp3
fbc-2022-11-30mw-cease-from-anger,20221130,Cease From Anger,http://fbcministries.net/sermons/2022-11-30MW-Cease_From_Anger.mp3
fbc-2022-11-27pm-wherefore-then-serveth-the-law,20221127,Wherefore Then Serveth The Law,http://fbcministries.net/sermons/2022-11-27PM-Wherefore_Then_Serveth_The_Law.mp3
fbc-2022-11-16mw-rest-in-the-lord,20221116,Rest In The Lord,http://fbcministries.net/sermons/2022-11-16MW-Rest_In_The_Lord.mp3
fbc-2022-10-12mw-trust-in-the-lord-and-do-good,20221012,Trust In The Lord And Do Good,http://fbcministries.net/sermons/2022-10-12MW-Trust_In_The_Lord_And_Do_Good.mp3
fbc-2022-10-05mw-fret-not-thyself-because-of-evildoers,20221005,Fret Not Thyself Because Of Evildoers,http://fbcministries.net/sermons/2022-10-05MW-Fret_Not_Thyself_Because_Of_Evildoers.mp3
fbc-2022-09-14mw-the-power-of-ii-chronicles-7-14,20220914,The Power Of II Chronicles 7:14,http://fbcministries.net/sermons/2022-09-14MW-The_Power_Of_II_Chronicles_7:14.mp3
fbc-2022-09-07mw-the-actions-of-ii-chronicles-7-14,20220907,The Actions Of II Chronicles 7:14,http://fbcministries.net/sermons/2022-09-07MW-The_Actions_Of_II_Chronicles_7:14.mp3
fbc-2022-08-31mw-the-condition-of-ii-chronicles-7-14,20220831,The Condition Of II Chronicles 7:14,http://fbcministries.net/sermons/2022-08-31MW-The_Condition_Of_II_Chronicles_7:14.mp3
fbc-2022-08-28pm-the-indwelling-of-the-holy-spirit,20220828,The Indwelling Of The Holy Spirit,http://fbcministries.net/sermons/2022-08-28PM-The_Indwelling_Of_The_Holy_Spirit.mp3
fbc-2022-08-24mw-grace,20220824,Grace,http://fbcministries.net/sermons/2022-08-24MW-Grace.mp3
fbc-2022-08-17mw-my-fellowlabourers,20220817,My Fellowlabourers,http://fbcministries.net/sermons/2022-08-17MW-My_Fellowlabourers.mp3
fbc-2022-08-14pm-what-does-the-bible-say-about-ghosts,20220814,What Does The Bible Say About Ghosts,http://fbcministries.net/sermons/2022-08-14PM-What_Does_The_Bible_Say_About_Ghosts.mp3
fbc-2022-08-10mw-the-power-of-prayer,20220810,The Power Of Prayer,http://fbcministries.net/sermons/2022-08-10MW-The_Power_Of_Prayer.mp3
fbc-2022-08-03mw-confident-in-thy-obedience,20220803,Confident In Thy Obedience,http://fbcministries.net/sermons/2022-08-03MW-Confident_In_Thy_Obedience.mp3
fbc-2022-07-24pm-the-lords-throne-is-in-heaven,20220724,The Lords Throne Is In Heaven,http://fbcministries.net/sermons/2022-07-24PM-The_Lords_Throne_Is_In_Heaven.mp3
fbc-2022-07-20mw-put-that-on-mine-account,20220720,Put That On Mine Account,http://fbcministries.net/sermons/2022-07-20MW-Put_That_On_Mine_Account.mp3
fbc-2022-07-17pm-and-upon-the-first-day-of-the-week,20220717,And Upon The First Day Of The Week,http://fbcministries.net/sermons/2022-07-17PM-And_Upon_The_First_Day_Of_The_Week.mp3
fbc-2022-07-06mw-yet-for-loves-sake,20220706,Yet For Loves Sake,http://fbcministries.net/sermons/2022-07-06MW-Yet_For_Loves_Sake.mp3
fbc-2022-06-19pm-hear-learn-do,20220619,Hear Learn Do,http://fbcministries.net/sermons/2022-06-19PM-Hear_Learn_Do.mp3
fbc-2022-06-05pm-what-does-the-bible-say-about-purgatory,20220605,What Does The Bible Say About Purgatory,http://fbcministries.net/sermons/2022-06-05PM-What_Does_The_Bible_Say_About_Purgatory.mp3
fbc-2022-06-01mw-philemon-our-dearly-beloved,20220601,Philemon Our Dearly Beloved,http://fbcministries.net/sermons/2022-06-01MW-Philemon_Our_Dearly_Beloved.mp3
fbc-2022-05-18mw-for-the-gospels-sake,20220518,For The Gospels Sake,http://fbcministries.net/sermons/2022-05-18MW-For_The_Gospels_Sake.mp3
fbc-2022-05-04mw-lessons-in-the-valley-of-rephaim,20220504,Lessons In The Valley Of Rephaim,http://fbcministries.net/sermons/2022-05-04MW-Lessons_In_The_Valley_Of_Rephaim.mp3
fbc-2022-04-24pm-walk-in-newness-of-life,20220424,Walk In Newness Of Life,http://fbcministries.net/sermons/2022-04-24PM-Walk_In_Newness_Of_Life.mp3
fbc-2022-04-20mw-the-growth-of-the-thessalonians,20220420,The Growth Of The Thessalonians,http://fbcministries.net/sermons/2022-04-20MW-The_Growth_Of_The_Thessalonians.mp3
fbc-2022-04-06mw-learning-from-others-mistakes,20220406,Learning From Others Mistakes,http://fbcministries.net/sermons/2022-04-06MW-Learning_From_Others_Mistakes.mp3
fbc-2022-03-30mw-learning-from-your-mistakes,20220330,Learning From Your Mistakes,http://fbcministries.net/sermons/2022-03-30MW-Learning_From_Your_Mistakes.mp3
fbc-2022-03-16mw-the-classroom-of-loneliness,20220316,The Classroom Of Loneliness,http://fbcministries.net/sermons/2022-03-16MW-The_Classroom_Of_Loneliness.mp3
fbc-2022-02-16mw-tips-to-promote-learning,20220216,Tips To Promote Learning,http://fbcministries.net/sermons/2022-02-16MW-Tips_To_Promote_Learning.mp3
fbc-2022-01-19mw-teach-me,20220119,Teach Me,http://fbcministries.net/sermons/2022-01-19MW-Teach_Me.mp3
fbc-2021-12-19pm-simeon-was-waiting-for-the-promised-messiah,20211219,Simeon Was Waiting For The Promised Messiah,http://fbcministries.net/sermons/2021-12-19PM-Simeon_Was_Waiting_For_The_Promised_Messiah.mp3
fbc-2021-09-15mw-the-lord-is-with-him,20210915,The Lord Is With Him,http://fbcministries.net/sermons/2021-09-15MW-The_Lord_Is_With_Him.mp3
fbc-2020-03-29am-our-god-answers-prayer,20200329,Our God Answers Prayer,http://fbcministries.net/sermons/2020-03-29AM-Our_God_Answers_Prayer.mp3
fbc-2020-03-29pm-acknowledge-thine-iniquity,20200329,Acknowledge Thine Iniquity,http://fbcministries.net/sermons/2020-03-29PM-Acknowledge_Thine_Iniquity.mp3
fbc-2020-03-25mw-naaman-the-leper,20200325,Naaman The Leper,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-03-25MW-Naaman_The_Leper.mp3
fbc-2020-03-22am-he-will-deliver-thee,20200322,He Will Deliver Thee,http://fbcministries.net/sermons/2020-03-22AM-He_Will_Deliver_Thee.mp3
fbc-2020-03-18mw-the-blessing-of-peace,20200318,The Blessing Of Peace,http://fbcministries.net/sermons/2020-03-18MW-The_Blessing_Of_Peace.mp3
fbc-2020-03-15pm-draw-near-to-god,20200315,Draw Near To God,http://fbcministries.net/sermons/2020-03-15PM-Draw_Near_To_God.mp3
fbc-2020-03-15am-the-throne-of-grace,20200315,The Throne Of Grace,http://fbcministries.net/sermons/Hebrews_Series/2020-03-15AM-The_Throne_Of_Grace.mp3
fbc-2020-03-15ss-bibliology-part-2,20200315,Bibliology Part 2,http://fbcministries.net/sermons/Titus_Series/2020-03-15SS-Bibliology_Part_2.mp3
fbc-2020-03-11mw-provision-for-the-sons-of-the-prophets,20200311,Provision For The Sons Of The Prophets,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-03-11MW-Provision_For_The_Sons_Of_The_Prophets.mp3
fbc-2020-03-08pm-diminish-not-a-word,20200308,Diminish Not A Word,http://fbcministries.net/sermons/2020-03-08PM-Diminish_Not_A_Word.mp3
fbc-2020-03-08am-the-word-of-god-is-quick-and-powerful,20200308,The Word Of God Is Quick And Powerful,http://fbcministries.net/sermons/Hebrews_Series/2020-03-08AM-The_Word_Of_God_Is_Quick_And_Powerful.mp3
fbc-2020-03-08ss-bibliology-part-1,20200308,Bibliology Part 1,http://fbcministries.net/sermons/Titus_Series/2020-03-08SS-Bibliology_Part_1.mp3
fbc-2020-03-04mw-take-up-thy-son,20200304,Take Up Thy Son,http://fbcministries.net/sermons/2020-03-04MW-Take_Up_Thy_Son.mp3
fbc-2020-03-01am-hearing-and-believing,20200301,Hearing And Believing,http://fbcministries.net/sermons/Hebrews_Series/2020-03-01AM-Hearing_And_Believing.mp3
fbc-2020-03-01ss-sound-doctrine,20200301,Sound Doctrine,http://fbcministries.net/sermons/Titus_Series/2020-03-01SS-Sound_Doctrine.mp3
fbc-2020-02-26mw-provision-in-shunem,20200226,Provision In Shunem,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-02-26MW-Provision_In_Shunem.mp3
fbc-2020-02-23pm-he-first-loved-us,20200223,He First Loved Us,http://fbcministries.net/sermons/2020-02-23PM-He_First_Loved_Us.mp3
fbc-2020-02-23ss-rebuke-them-sharply,20200223,Rebuke Them Sharply,http://fbcministries.net/sermons/Titus_Series/2020-02-23SS-Rebuke_Them_Sharply.mp3
fbc-2020-02-19mw-just-a-pot-of-oil,20200219,Just A Pot Of Oil,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-02-19MW-Just_A_Pot_Of_Oil.mp3
fbc-2020-02-16pm-publish-glad-tidings,20200216,Publish Glad Tidings,http://fbcministries.net/sermons/2020-02-16PM-Publish_Glad_Tidings.mp3
fbc-2020-02-16am-more-glory-than-moses,20200216,More Glory Than Moses,http://fbcministries.net/sermons/Hebrews_Series/2020-02-16AM-More_Glory_Than_Moses.mp3
fbc-2020-02-16ss-qualifications-for-elders-part-2,20200216,Qualifications For Elders Part 2,http://fbcministries.net/sermons/Titus_Series/2020-02-16SS-Qualifications_For_Elders_Part_2.mp3
fbc-2020-02-12mw-make-this-valley-full-of-ditches,20200212,Make This Valley Full Of Ditches,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-02-12MW-Make_This_Valley_Full_Of_Ditches.mp3
fbc-2020-02-09pm-are-you-overwhelmed,20200209,Are You Overwhelmed,http://fbcministries.net/sermons/2020-02-09PM-Are_You_Overwhelmed.mp3
fbc-2020-02-09am-jesus-tasted-death-for-every-man,20200209,Jesus Tasted Death For Every Man,http://fbcministries.net/sermons/Hebrews_Series/2020-02-09AM-Jesus_Tasted_Death_For_Every_Man.mp3
fbc-2020-02-09ss-qualifications-for-elders,20200209,Qualifications For Elders,http://fbcministries.net/sermons/Titus_Series/2020-02-09SS-Qualifications_For_Elders.mp3
fbc-2020-02-05mw-i-have-healed-these-waters,20200205,I Have Healed These Waters,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-02-05MW-I_Have_Healed_These_Waters.mp3
fbc-2020-02-02pm-the-coming-of-the-lord-draweth-nigh,20200202,The Coming Of The Lord Draweth Nigh,http://fbcministries.net/sermons/2020-02-02PM-The_Coming_Of_The_Lord_Draweth_Nigh.mp3
fbc-2020-02-02ss-the-ministry-of-titus-in-crete,20200202,The Ministry Of Titus In Crete,http://fbcministries.net/sermons/Titus_Series/2020-02-02SS-The_Ministry_Of_Titus_In_Crete.mp3
fbc-2020-01-29mw-elisha-saw-it,20200129,Elisha Saw It,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-01-29MW-Elisha_Saw_It.mp3
fbc-2020-01-26am-christ-so-much-better-than-the-angels,20200126,Christ So Much Better Than The Angels,http://fbcministries.net/sermons/Hebrews_Series/2020-01-26AM-Christ_So_Much_Better_Than_The_Angels.mp3
fbc-2020-01-26ss-in-hope-of-eternal-life,20200126,In Hope Of Eternal Life,http://fbcministries.net/sermons/Titus_Series/2020-01-26SS-In_Hope_Of_Eternal_Life.mp3
fbc-2020-01-22mw-elisha-the-son-of-shaphat,20200122,Elisha The Son Of Shaphat,http://fbcministries.net/sermons/Elijah_And_Elisha_Series/2020-01-22MW-Elisha_The_Son_Of_Shaphat.mp3
fbc-2020-01-19am-our-glorious-saviour,20200119,Our Glorious Saviour,http://fbcministries.net/sermons/Hebrews_Series/2020-01-19AM-Our_Glorious_Saviour.mp3
